"var","hr","pval","hr_ci95"
"gendermale",1,"8.41e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.83e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.61e-02","1.1 to 5.2"
"tnm_stageIV",3.7,"6.26e-03","1.5 to 9.6"
"IL10_mut",NA," NA","NA to NA"
"age.cat>=65",1.3,"2.34e-01","0.8 to 2"
"gendermale",1,"8.89e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.93e-01","0.6 to 3"
"tnm_stageIII",2.4,"2.43e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"6.00e-03","1.5 to 9.7"
"IRF6_cna",1.2,"2.91e-01","0.8 to 1.8"
"age.cat>=65",1.3,"2.09e-01","0.9 to 2.1"
"gendermale",0.9,"7.85e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.47e-01","0.6 to 3.1"
"tnm_stageIII",2.4,"2.55e-02","1.1 to 5.2"
"tnm_stageIV",3.8,"6.20e-03","1.5 to 9.7"
"IRF6_mut",0.8,"7.48e-01","0.3 to 2.5"
"age.cat>=65",1.3,"2.22e-01","0.8 to 2.1"
"gendermale",1,"9.08e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.66e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.34e-02","1.1 to 5.3"
"tnm_stageIV",3.8,"5.91e-03","1.5 to 9.7"
"DNMT3A_cna",0.9,"6.78e-01","0.6 to 1.5"
"age.cat>=65",1.3,"2.15e-01","0.8 to 2.1"
"gendermale",1,"8.85e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.59e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.25e-02","1.1 to 5.4"
"tnm_stageIV",3.8,"5.50e-03","1.5 to 9.9"
"DNMT3A_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.3,"1.98e-01","0.9 to 2.1"
"gendermale",0.9,"7.77e-01","0.6 to 1.5"
"tnm_stageII",1.3,"4.84e-01","0.6 to 3"
"tnm_stageIII",2.5,"1.98e-02","1.2 to 5.4"
"tnm_stageIV",3.8,"5.55e-03","1.5 to 9.8"
"SOS1_cna",0.8,"4.06e-01","0.5 to 1.3"
"age.cat>=65",1.3,"2.03e-01","0.9 to 2.1"
"gendermale",1,"8.92e-01","0.6 to 1.5"
"tnm_stageII",1.4,"4.44e-01","0.6 to 3.1"
"tnm_stageIII",2.5,"2.22e-02","1.1 to 5.4"
"tnm_stageIV",3.9,"5.07e-03","1.5 to 10"
"SOS1_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.3,"2.31e-01","0.8 to 2"
"gendermale",1,"9.01e-01","0.6 to 1.5"
"tnm_stageII",1.3,"5.29e-01","0.6 to 2.9"
"tnm_stageIII",2.4,"2.85e-02","1.1 to 5.1"
"tnm_stageIV",3.7,"6.93e-03","1.4 to 9.4"
"CASP8_cna",0.8,"1.85e-01","0.5 to 1.1"
"age.cat>=65",1.3,"2.04e-01","0.9 to 2.1"
"gendermale",1,"9.73e-01","0.6 to 1.5"
