"var","hr","pval","hr_ci95"
"age.cat>=65",15.7,"1.34e-04","3.8 to 64.3"
"gendermale",1.2,"7.57e-01","0.3 to 4.4"
"tnm_stageII",2.1,"5.00e-01","0.3 to 16.9"
"tnm_stageIII",1.8,"5.32e-01","0.3 to 10.9"
"tnm_stageIV",6.1,"4.80e-02","1 to 36.2"
"nmdns_n_decayed",1,"8.29e-01","1 to 1"
"age.cat>=65",15.9,"1.26e-04","3.9 to 65.4"
"gendermale",1.2,"7.79e-01","0.3 to 4.3"
"tnm_stageII",2,"5.19e-01","0.2 to 16.5"
"tnm_stageIII",1.8,"5.33e-01","0.3 to 11"
"tnm_stageIV",6.2,"4.59e-02","1 to 37"
"nmdns_frac_decayed",0.6,"4.30e-01","0.1 to 2.3"
"age.cat>=65",15.8,"9.71e-05","3.9 to 63.3"
"gendermale",1.2,"7.51e-01","0.3 to 4.3"
"tnm_stageII",2.3,"4.41e-01","0.3 to 18.8"
"tnm_stageIII",2.1,"4.37e-01","0.3 to 12.9"
"tnm_stageIV",6.4,"3.98e-02","1.1 to 37.2"
"nmdns_med",1,"9.51e-01","0.8 to 1.2"
"age.cat>=65",16.3,"1.16e-04","3.9 to 67.2"
"gendermale",1.2,"8.25e-01","0.3 to 4.1"
"tnm_stageII",1.9,"5.66e-01","0.2 to 16"
"tnm_stageIII",1.8,"5.39e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.32e-02","1.1 to 38.7"
"nmdns_med.wt",1,"9.36e-01","0.8 to 1.2"
"age.cat>=65",16.3,"1.14e-04","3.9 to 67.2"
"gendermale",1.2,"8.27e-01","0.3 to 4.1"
"tnm_stageII",1.9,"5.68e-01","0.2 to 15.8"
"tnm_stageIII",1.8,"5.40e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.28e-02","1.1 to 38.6"
"nmdns_mean",1,"9.56e-01","0.8 to 1.2"
"age.cat>=65",16.3,"1.15e-04","3.9 to 67.1"
"gendermale",1.2,"8.24e-01","0.3 to 4.1"
"tnm_stageII",1.9,"5.64e-01","0.2 to 16"
"tnm_stageIII",1.8,"5.39e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.32e-02","1.1 to 38.6"
"nmdns_mean.wt",1,"9.36e-01","0.8 to 1.2"
"age.cat>=65",16.3,"1.14e-04","3.9 to 67.2"
"gendermale",1.2,"8.27e-01","0.3 to 4.1"
"tnm_stageII",1.9,"5.68e-01","0.2 to 15.8"
"tnm_stageIII",1.8,"5.40e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.28e-02","1.1 to 38.6"
"TNFRSF4_cna",0.3,"6.11e-01","0 to 23.5"
"age.cat>=65",16.2,"1.15e-04","3.9 to 67"
"gendermale",1.2,"7.72e-01","0.3 to 4.2"
"tnm_stageII",1.9,"5.36e-01","0.2 to 15.2"
"tnm_stageIII",1.9,"5.04e-01","0.3 to 11.6"
"tnm_stageIV",6.5,"4.09e-02","1.1 to 39"
"CNKSR1_cna",0.6,"8.75e-01","0 to 202"
"age.cat>=65",16.1,"1.18e-04","3.9 to 66"
"gendermale",1.2,"8.17e-01","0.3 to 4"
"tnm_stageII",1.9,"5.39e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.27e-01","0.3 to 11.2"
"tnm_stageIV",6.5,"4.18e-02","1.1 to 38.9"
"FUBP1_cna",0.6,"8.75e-01","0 to 202"
"age.cat>=65",16.1,"1.18e-04","3.9 to 66"
"gendermale",1.2,"8.17e-01","0.3 to 4"
"tnm_stageII",1.9,"5.39e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.27e-01","0.3 to 11.2"
"tnm_stageIV",6.5,"4.18e-02","1.1 to 38.9"
"IL10_cna",0.9,"8.42e-01","0.2 to 3.7"
"age.cat>=65",16.2,"1.05e-04","4 to 66.4"
"gendermale",1.2,"8.16e-01","0.3 to 4"
"tnm_stageII",1.9,"5.44e-01","0.2 to 15.1"
"tnm_stageIII",1.9,"5.12e-01","0.3 to 12.1"
"tnm_stageIV",6.5,"4.10e-02","1.1 to 38.6"
"IRF6_cna",0.9,"8.42e-01","0.2 to 3.7"
"age.cat>=65",16.2,"1.05e-04","4 to 66.4"
"gendermale",1.2,"8.16e-01","0.3 to 4"
"tnm_stageII",1.9,"5.44e-01","0.2 to 15.1"
"tnm_stageIII",1.9,"5.12e-01","0.3 to 12.1"
"tnm_stageIV",6.5,"4.10e-02","1.1 to 38.6"
"DNMT3A_cna",1.6,"8.89e-01","0 to 1705.9"
"age.cat>=65",16.2,"1.11e-04","3.9 to 66.4"
"gendermale",1.2,"8.16e-01","0.3 to 4"
"tnm_stageII",1.9,"5.37e-01","0.2 to 15.5"
"tnm_stageIII",1.8,"5.31e-01","0.3 to 11.1"
"tnm_stageIV",6.4,"4.20e-02","1.1 to 37.9"
"DNMT3A_mut",8.6,"1.57e-03","2.3 to 32.8"
"age.cat>=65",18.6,"6.14e-05","4.5 to 78"
"gendermale",1.5,"5.70e-01","0.4 to 5.3"
"tnm_stageII",1.8,"5.69e-01","0.2 to 14.6"
"tnm_stageIII",1.2,"8.30e-01","0.2 to 8.2"
"tnm_stageIV",5.8,"5.45e-02","1 to 34.7"
"SOS1_cna",1,"9.99e-01","0 to 118.6"
"age.cat>=65",16.2,"1.08e-04","4 to 66.3"
"gendermale",1.2,"8.14e-01","0.3 to 4"
"tnm_stageII",1.9,"5.44e-01","0.2 to 15.3"
"tnm_stageIII",1.8,"5.34e-01","0.3 to 11.1"
"tnm_stageIV",6.3,"4.22e-02","1.1 to 37.8"
"CASP8_cna",1.2,"9.42e-01","0 to 214.5"
"age.cat>=65",16.1,"1.14e-04","3.9 to 66.3"
"gendermale",1.2,"8.19e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.36e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.20e-02","1.1 to 37.7"
"CTLA4_cna",1.2,"9.42e-01","0 to 214.5"
"age.cat>=65",16.1,"1.14e-04","3.9 to 66.3"
"gendermale",1.2,"8.19e-01","0.3 to 4"
"tnm_stageII",1.9,"5.41e-01","0.2 to 15.2"
"tnm_stageIII",1.8,"5.36e-01","0.3 to 11"
"tnm_stageIV",6.3,"4.20e-02","1.1 to 37.7"
"DNER_cna",0.1,"3.12e-02","0 to 0.8"
"age.cat>=65",20.1,"7.50e-05","4.6 to 89"
"gendermale",1.3,"7.19e-01","0.4 to 4.4"
"tnm_stageII",1.7,"6.12e-01","0.2 to 13.1"
"tnm_stageIII",1.6,"5.91e-01","0.3 to 9.9"
"tnm_stageIV",6.3,"4.30e-02","1.1 to 36.9"
"PDCD1_cna",0.1,"3.12e-02","0 to 0.8"
"age.cat>=65",20.1,"7.50e-05","4.6 to 89"
"gendermale",1.3,"7.19e-01","0.4 to 4.4"
