"var","hr","pval","hr_ci95"
"TMB.cathigh",0.6,"1.30e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.23e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.67e-01","0.8 to 1.9"
"SLC22A14_cna",0.9,"5.99e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.37e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.24e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.34e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.97e-01","0.7 to 1.8"
"PIK3CA_cna",0.9,"5.69e-01","0.7 to 1.2"
"age.cat>=65",1.6,"1.14e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"9.92e-04","0.4 to 0.8"
"PDL1.catmed",0.7,"5.55e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.06e-01","0.8 to 1.9"
"CXCL9_cna",1,"9.62e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.15e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.40e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"CXCL10_cna",1,"9.20e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.17e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.37e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"CXCL11_cna",1,"9.20e-01","0.8 to 1.2"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.17e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.37e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.61e-01","0.8 to 1.9"
"TET2_cna",1,"8.90e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.31e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.08e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.35e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.56e-01","0.8 to 1.9"
"IL2_cna",1,"7.49e-01","0.7 to 1.2"
"age.cat>=65",1.5,"1.27e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.11e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.38e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.42e-01","0.8 to 1.9"
"IRF1_cna",1,"9.96e-01","0.8 to 1.3"
"age.cat>=65",1.5,"1.33e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.07e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.43e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.71e-01","0.7 to 1.9"
"HAVCR2_cna",0.9,"6.27e-01","0.8 to 1.2"
"age.cat>=65",1.6,"1.17e-02","1.1 to 2.2"
"TMB.cathigh",0.6,"1.51e-03","0.4 to 0.8"
"PDL1.catmed",0.7,"3.92e-02","0.4 to 1"
"PDL1.cathigh",1.2,"4.54e-01","0.8 to 1.9"
