"var","hr","pval","hr_ci95"
"age.cat>=65",1.4,"1.47e-01","0.9 to 2.1"
"gendermale",1,"9.59e-01","0.7 to 1.6"
"tnm_stageII",2.9,"6.72e-05","1.7 to 5"
"tnm_stageIII",3.7,"8.38e-07","2.2 to 6.2"
"tnm_stageIV",3,"1.47e-02","1.2 to 7.4"
"MET_cna",1.1,"7.24e-01","0.8 to 1.4"
"age.cat>=65",1.4,"1.49e-01","0.9 to 2.1"
"gendermale",1,"9.68e-01","0.7 to 1.6"
"tnm_stageII",3,"6.30e-05","1.7 to 5"
"tnm_stageIII",3.8,"5.62e-07","2.2 to 6.3"
"tnm_stageIV",3.1,"1.31e-02","1.3 to 7.6"
"MET_mut",1.1,"8.40e-01","0.3 to 3.8"
"age.cat>=65",1.4,"1.54e-01","0.9 to 2.1"
"gendermale",1,"9.73e-01","0.7 to 1.6"
"tnm_stageII",3,"6.14e-05","1.7 to 5.1"
"tnm_stageIII",3.8,"4.83e-07","2.3 to 6.4"
"tnm_stageIV",3.1,"1.19e-02","1.3 to 7.7"
"IDO1_cna",1,"8.38e-01","0.8 to 1.3"
"age.cat>=65",1.4,"1.55e-01","0.9 to 2.1"
"gendermale",1,"9.98e-01","0.6 to 1.5"
"tnm_stageII",3,"6.21e-05","1.7 to 5"
"tnm_stageIII",3.7,"7.73e-07","2.2 to 6.3"
"tnm_stageIV",3.2,"1.19e-02","1.3 to 7.8"
"JAK2_cna",0.9,"4.33e-01","0.7 to 1.2"
"age.cat>=65",1.3,"1.84e-01","0.9 to 2.1"
"gendermale",1,"9.69e-01","0.6 to 1.5"
"tnm_stageII",2.8,"2.13e-04","1.6 to 4.9"
"tnm_stageIII",3.7,"7.56e-07","2.2 to 6.2"
"tnm_stageIV",2.9,"2.17e-02","1.2 to 7.2"
"JAK2_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",1.4,"1.44e-01","0.9 to 2.1"
"gendermale",1,"9.31e-01","0.6 to 1.5"
"tnm_stageII",2.9,"8.84e-05","1.7 to 4.9"
"tnm_stageIII",3.7,"6.33e-07","2.2 to 6.3"
"tnm_stageIV",3.1,"1.30e-02","1.3 to 7.6"
"CD274_cna",0.9,"4.44e-01","0.7 to 1.2"
"age.cat>=65",1.3,"1.83e-01","0.9 to 2.1"
"gendermale",1,"9.71e-01","0.6 to 1.5"
"tnm_stageII",2.8,"2.04e-04","1.6 to 4.9"
