"var","hr","pval","hr_ci95"
"tnm_stageII",1.2,"6.87e-01","0.4 to 3.6"
"tnm_stageIII",1.7,"3.32e-01","0.6 to 4.8"
"tnm_stageIV",2.6,"1.21e-01","0.8 to 9"
"nmdns_mean",1.1,"3.58e-02","1 to 1.3"
"age.cat>=65",1.6,"1.08e-02","1.1 to 2.2"
"gendermale",1.2,"2.39e-01","0.9 to 1.7"
"tnm_stageI",0.9,"8.62e-01","0.3 to 2.6"
"tnm_stageI/II NOS",0.4,"2.96e-01","0.1 to 2.1"
"tnm_stageII",1.3,"6.61e-01","0.4 to 3.7"
"tnm_stageIII",1.7,"3.16e-01","0.6 to 4.8"
"tnm_stageIV",2.8,"1.07e-01","0.8 to 9.4"
"nmdns_mean.wt",1.1,"5.64e-02","1 to 1.3"
"age.cat>=65",1.6,"9.75e-03","1.1 to 2.3"
"gendermale",1.2,"2.62e-01","0.9 to 1.7"
"tnm_stageI",0.9,"8.26e-01","0.3 to 2.6"
"tnm_stageI/II NOS",0.4,"2.74e-01","0.1 to 2"
"tnm_stageII",1.2,"7.05e-01","0.4 to 3.6"
"tnm_stageIII",1.7,"3.44e-01","0.6 to 4.7"
"tnm_stageIV",2.6,"1.24e-01","0.8 to 8.9"
"TNFRSF4_cna",0.9,"4.48e-01","0.7 to 1.1"
"age.cat>=65",1.6,"5.77e-03","1.2 to 2.3"
"gendermale",1.2,"3.24e-01","0.8 to 1.7"
"tnm_stageI",0.7,"5.50e-01","0.3 to 2.1"
"tnm_stageI/II NOS",0.3,"1.71e-01","0.1 to 1.6"
"tnm_stageII",1,"9.65e-01","0.3 to 2.8"
"tnm_stageIII",1.3,"5.71e-01","0.5 to 3.7"
"tnm_stageIV",2.2,"1.97e-01","0.7 to 7.5"
"CNKSR1_cna",1.1,"7.01e-01","0.8 to 1.3"
"age.cat>=65",1.6,"6.08e-03","1.1 to 2.3"
"gendermale",1.2,"3.18e-01","0.8 to 1.7"
"tnm_stageI",0.8,"6.45e-01","0.3 to 2.2"
"tnm_stageI/II NOS",0.4,"1.85e-01","0.1 to 1.6"
"tnm_stageII",1,"9.42e-01","0.4 to 3"
"tnm_stageIII",1.4,"5.03e-01","0.5 to 4"
"tnm_stageIV",2.4,"1.63e-01","0.7 to 8.1"
"CNKSR1_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",1.7,"3.36e-03","1.2 to 2.4"
"gendermale",1.2,"3.65e-01","0.8 to 1.6"
