"var","hr","pval","hr_ci95"
"PDL1.catmed",0.8,"6.02e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.95e-01","0.3 to 1.9"
"PIK3CA_cna",0.8,"4.26e-01","0.5 to 1.3"
"age.cat>=65",2.9,"1.62e-02","1.2 to 6.7"
"TMB.cathigh",0.8,"5.82e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"5.88e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.72e-01","0.3 to 1.8"
"CXCL9_cna",0.9,"5.96e-01","0.5 to 1.5"
"age.cat>=65",2.9,"1.40e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.77e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.98e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.93e-01","0.3 to 1.8"
"CXCL10_cna",0.9,"5.96e-01","0.5 to 1.5"
"age.cat>=65",2.9,"1.40e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.77e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.98e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.93e-01","0.3 to 1.8"
"CXCL11_cna",0.9,"5.96e-01","0.5 to 1.5"
"age.cat>=65",2.9,"1.40e-02","1.2 to 6.9"
"TMB.cathigh",0.8,"4.77e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.98e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.93e-01","0.3 to 1.8"
"TET2_cna",0.8,"5.00e-01","0.5 to 1.5"
"age.cat>=65",2.9,"1.33e-02","1.3 to 6.9"
"TMB.cathigh",0.8,"5.00e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"5.72e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"4.89e-01","0.3 to 1.8"
"TET2_mut",3.4,"1.98e-02","1.2 to 9.7"
"age.cat>=65",3,"1.26e-02","1.3 to 7.1"
"TMB.cathigh",0.8,"5.78e-01","0.4 to 1.6"
"PDL1.catmed",0.8,"5.38e-01","0.3 to 1.7"
"PDL1.cathigh",0.7,"4.80e-01","0.3 to 1.8"
"IL2_cna",1,"9.48e-01","0.6 to 1.7"
"age.cat>=65",2.9,"1.34e-02","1.3 to 7"
"TMB.cathigh",0.8,"4.90e-01","0.4 to 1.5"
"PDL1.catmed",0.8,"6.31e-01","0.4 to 1.8"
"PDL1.cathigh",0.7,"5.04e-01","0.3 to 1.9"
"IRF1_cna",0.5,"1.80e-02","0.3 to 0.9"
