"var","hr","pval","hr_ci95"
"age.cat>=65",2.1,"6.06e-02","1 to 4.6"
"MORC4_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",2.4,"2.29e-02","1.1 to 5.3"
"CUL4B_cna",0.5,"1.27e-02","0.3 to 0.9"
"age.cat>=65",2.2,"4.22e-02","1 to 4.9"
"TMB",1,"3.55e-01","0.9 to 1"
"age.cat>=65",2.6,"1.64e-02","1.2 to 5.7"
"PDL1",1,"7.53e-01","1 to 1"
"age.cat>=65",2.4,"2.95e-02","1.1 to 5.3"
"silent.catmed",1.1,"8.38e-01","0.5 to 2.3"
"silent.cathigh",0.7,"4.87e-01","0.3 to 1.8"
"age.cat>=65",2.6,"2.07e-02","1.2 to 5.6"
"missense.catmed",1.2,"7.01e-01","0.5 to 2.5"
"missense.cathigh",0.7,"4.16e-01","0.3 to 1.7"
"age.cat>=65",2.6,"2.07e-02","1.2 to 5.7"
"nonsense.catmed",1,"9.19e-01","0.5 to 2.2"
"nonsense.cathigh",0.8,"6.01e-01","0.4 to 1.8"
"age.cat>=65",2.5,"2.30e-02","1.1 to 5.5"
"frameshift.catmed",2.3,"4.22e-02","1 to 5"
"frameshift.cathigh",1.3,"4.75e-01","0.6 to 2.6"
"age.cat>=65",2.3,"3.42e-02","1.1 to 5"
"total.catmed",1,"9.09e-01","0.5 to 2.3"
"total.cathigh",1,"9.56e-01","0.4 to 2.4"
"age.cat>=65",2.5,"2.54e-02","1.1 to 5.4"
"GZMA.catmed",0.7,"3.79e-01","0.4 to 1.5"
"GZMA.cathigh",0.5,"1.73e-01","0.2 to 1.3"
"age.cat>=65",2.8,"1.19e-02","1.3 to 6.1"
"PRF1.catmed",1.3,"5.35e-01","0.6 to 2.7"
"PRF1.cathigh",0.6,"3.02e-01","0.3 to 1.5"
"age.cat>=65",2.5,"2.20e-02","1.1 to 5.4"
"nmdptc_max.catmed",0.5,"5.14e-02","0.2 to 1"
"nmdptc_max.cathigh",0.4,"7.83e-02","0.2 to 1.1"
"age.cat>=65",2.9,"8.42e-03","1.3 to 6.5"
"nmdptc_n_decayed.catmed",0.3,"1.52e-03","0.1 to 0.6"
"nmdptc_n_decayed.cathigh",0.3,"5.25e-03","0.1 to 0.7"
"age.cat>=65",3.5,"2.62e-03","1.5 to 7.8"
"nmdptc_frac_decayed.catmed",0.4,"6.32e-03","0.2 to 0.7"
"nmdptc_frac_decayed.cathigh",0.5,"8.17e-02","0.2 to 1.1"
"age.cat>=65",3.5,"3.69e-03","1.5 to 8.1"
"nmdptc_med.catmed",0.4,"6.51e-03","0.2 to 0.8"
"nmdptc_med.cathigh",0.6,"1.83e-01","0.3 to 1.3"
"age.cat>=65",3.3,"4.07e-03","1.5 to 7.6"
"nmdptc_med.wt.catmed",0.4,"9.55e-03","0.2 to 0.8"
"nmdptc_med.wt.cathigh",0.4,"6.28e-02","0.2 to 1"
"age.cat>=65",3.1,"6.96e-03","1.4 to 6.9"
"nmdptc_mean.catmed",0.3,"3.93e-03","0.2 to 0.7"
"nmdptc_mean.cathigh",0.5,"1.24e-01","0.2 to 1.2"
"age.cat>=65",3.6,"2.72e-03","1.6 to 8.2"
"nmdptc_mean.wt.catmed",0.4,"3.77e-03","0.2 to 0.7"
"nmdptc_mean.wt.cathigh",0.6,"1.66e-01","0.2 to 1.3"
"age.cat>=65",3.1,"6.19e-03","1.4 to 7"
"nmdfs_max.catmed",0.7,"3.17e-01","0.3 to 1.5"
"nmdfs_max.cathigh",1,"9.68e-01","0.5 to 2.1"
"age.cat>=65",2.5,"2.28e-02","1.1 to 5.3"
"nmdfs_n_decayed.catmed",0.7,"4.41e-01","0.2 to 1.9"
"nmdfs_n_decayed.cathigh",1.1,"7.28e-01","0.6 to 2.1"
"age.cat>=65",2.4,"2.85e-02","1.1 to 5.2"
"nmdfs_frac_decayed.catmed",0.7,"3.58e-01","0.3 to 1.6"
"nmdfs_frac_decayed.cathigh",0.6,"8.71e-02","0.3 to 1.1"
"age.cat>=65",2.4,"2.42e-02","1.1 to 5.3"
"nmdfs_med.catmed",0.4,"4.24e-02","0.2 to 1"
"nmdfs_med.cathigh",0.8,"6.08e-01","0.4 to 1.7"
"age.cat>=65",2.5,"1.81e-02","1.2 to 5.5"
"nmdfs_med.wt.catmed",0.3,"6.28e-03","0.1 to 0.7"
"nmdfs_med.wt.cathigh",0.8,"4.75e-01","0.4 to 1.5"
"age.cat>=65",3.1,"5.22e-03","1.4 to 6.7"
"nmdfs_mean.catmed",0.5,"5.52e-02","0.2 to 1"
"nmdfs_mean.cathigh",0.8,"5.30e-01","0.4 to 1.6"
"age.cat>=65",3.1,"5.95e-03","1.4 to 7"
"nmdfs_mean.wt.catmed",0.4,"4.59e-02","0.2 to 1"
"nmdfs_mean.wt.cathigh",0.9,"7.54e-01","0.4 to 1.8"
"age.cat>=65",2.9,"8.23e-03","1.3 to 6.3"
"nmdns_max.catmed",0.5,"8.77e-02","0.3 to 1.1"
"nmdns_max.cathigh",0.5,"1.45e-01","0.2 to 1.3"
"age.cat>=65",2.8,"1.08e-02","1.3 to 6.3"
"nmdns_n_decayed.catmed",0.6,"2.35e-01","0.3 to 1.3"
"nmdns_n_decayed.cathigh",0.5,"1.15e-01","0.2 to 1.2"
"age.cat>=65",2.9,"1.10e-02","1.3 to 6.7"
"nmdns_frac_decayed.catmed",0.5,"9.48e-02","0.2 to 1.1"
"nmdns_frac_decayed.cathigh",0.8,"6.22e-01","0.4 to 1.8"
"age.cat>=65",3.2,"6.34e-03","1.4 to 7.4"
"nmdns_med.catmed",0.7,"3.84e-01","0.3 to 1.5"
"nmdns_med.cathigh",1.1,"8.72e-01","0.5 to 2.5"
"age.cat>=65",2.9,"1.16e-02","1.3 to 6.7"
"nmdns_med.wt.catmed",0.6,"2.23e-01","0.3 to 1.3"
"nmdns_med.wt.cathigh",0.9,"8.49e-01","0.4 to 2.1"
"age.cat>=65",3,"1.02e-02","1.3 to 6.9"
"nmdns_mean.catmed",0.4,"2.48e-02","0.2 to 0.9"
"nmdns_mean.cathigh",0.9,"8.08e-01","0.4 to 2"
"age.cat>=65",3.5,"3.35e-03","1.5 to 7.9"
"nmdns_mean.wt.catmed",0.6,"1.53e-01","0.3 to 1.2"
"nmdns_mean.wt.cathigh",1,"9.68e-01","0.5 to 2.2"
"age.cat>=65",3,"8.25e-03","1.3 to 6.8"
