"var","hr","pval","hr_ci95"
"gendermale",1.2,"5.33e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.40e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"9.43e-02","0.9 to 3.2"
"DNER_cna",1.1,"5.72e-01","0.8 to 1.7"
"age.cat>=65",2.5,"3.95e-03","1.3 to 4.6"
"gendermale",1.2,"4.71e-01","0.7 to 2.3"
"tnm_stageIII",0.9,"7.20e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.16e-01","0.9 to 3.1"
"DNER_mut",1.4,"5.07e-01","0.5 to 4"
"age.cat>=65",2.5,"4.10e-03","1.3 to 4.6"
"gendermale",1.2,"5.63e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.25e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.10e-01","0.9 to 3.1"
"PDCD1_cna",1.2,"3.65e-01","0.8 to 1.8"
"age.cat>=65",2.5,"3.10e-03","1.4 to 4.7"
"gendermale",1.3,"4.37e-01","0.7 to 2.3"
"tnm_stageIII",0.9,"6.93e-01","0.4 to 1.7"
"tnm_stageIV",1.7,"1.18e-01","0.9 to 3.1"
"SLC22A14_cna",1.1,"4.78e-01","0.8 to 1.6"
"age.cat>=65",2.3,"6.82e-03","1.3 to 4.3"
"gendermale",1.2,"6.21e-01","0.6 to 2.1"
"tnm_stageIII",0.9,"7.38e-01","0.5 to 1.8"
"tnm_stageIV",1.6,"1.44e-01","0.8 to 3.1"
"SLC22A14_mut",0,"9.95e-01","0 to Inf"
"age.cat>=65",2.4,"3.86e-03","1.3 to 4.4"
"gendermale",1.1,"7.11e-01","0.6 to 2"
"tnm_stageIII",0.9,"8.38e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.02e-01","0.9 to 3.2"
"PIK3CA_cna",0.7,"8.42e-02","0.5 to 1"
"age.cat>=65",2.3,"7.68e-03","1.2 to 4.2"
"gendermale",1.2,"5.75e-01","0.7 to 2.1"
"tnm_stageIII",0.8,"5.82e-01","0.4 to 1.6"
"tnm_stageIV",1.5,"2.46e-01","0.8 to 2.8"
"CXCL9_cna",0.8,"2.28e-01","0.6 to 1.2"
"age.cat>=65",2.5,"3.26e-03","1.4 to 4.5"
"gendermale",1.2,"5.64e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.94e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.15e-01","0.9 to 3.1"
"CXCL10_cna",0.8,"2.28e-01","0.6 to 1.2"
"age.cat>=65",2.5,"3.26e-03","1.4 to 4.5"
"gendermale",1.2,"5.64e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.94e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.15e-01","0.9 to 3.1"
"CXCL11_cna",0.8,"2.28e-01","0.6 to 1.2"
"age.cat>=65",2.5,"3.26e-03","1.4 to 4.5"
"gendermale",1.2,"5.64e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.94e-01","0.5 to 1.8"
"tnm_stageIV",1.7,"1.15e-01","0.9 to 3.1"
"TET2_cna",0.8,"2.60e-01","0.5 to 1.2"
"age.cat>=65",2.3,"7.57e-03","1.2 to 4.2"
"gendermale",1.2,"5.04e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"8.28e-01","0.5 to 1.8"
"tnm_stageIV",1.6,"1.49e-01","0.8 to 3"
"TET2_mut",1,"9.38e-01","0.4 to 2.9"
"age.cat>=65",2.4,"4.80e-03","1.3 to 4.4"
"gendermale",1.2,"5.39e-01","0.7 to 2.2"
"tnm_stageIII",0.9,"7.39e-01","0.5 to 1.8"
