"var","hr","pval","hr_ci95"
"tnm_stageII",1.2,"6.32e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.77e-01","0.8 to 2.6"
"tnm_stageIV",1.4,"6.75e-01","0.3 to 5.7"
"DNMT3A_cna",0.7,"4.34e-02","0.5 to 1"
"age.cat>=65",1.2,"5.43e-01","0.7 to 2"
"gendermale",1.6,"7.97e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.39e-01","0.6 to 2"
"tnm_stageIII",1.4,"2.58e-01","0.8 to 2.5"
"tnm_stageIV",1.2,"8.45e-01","0.3 to 4.9"
"DNMT3A_mut",0,"9.96e-01","0 to Inf"
"age.cat>=65",1.3,"3.11e-01","0.8 to 2.2"
"gendermale",1.6,"7.15e-02","1 to 2.7"
"tnm_stageII",1.1,"6.84e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.76e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"6.90e-01","0.3 to 5.6"
"SOS1_cna",0.7,"6.03e-02","0.5 to 1"
"age.cat>=65",1.2,"4.93e-01","0.7 to 2"
"gendermale",1.6,"8.00e-02","0.9 to 2.7"
"tnm_stageII",1.2,"6.11e-01","0.7 to 2.1"
"tnm_stageIII",1.4,"2.49e-01","0.8 to 2.5"
"tnm_stageIV",1.2,"7.99e-01","0.3 to 5.1"
"SOS1_mut",0.8,"5.88e-01","0.3 to 2.1"
"age.cat>=65",1.3,"3.05e-01","0.8 to 2.2"
"gendermale",1.6,"7.77e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.96e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.82e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"6.91e-01","0.3 to 5.6"
"CASP8_cna",0.9,"3.33e-01","0.7 to 1.2"
"age.cat>=65",1.3,"2.97e-01","0.8 to 2.2"
"gendermale",1.6,"6.74e-02","1 to 2.7"
"tnm_stageII",1.2,"6.26e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.39e-01","0.9 to 2.8"
"tnm_stageIV",1.4,"6.30e-01","0.3 to 6"
"CASP8_mut",1.3,"4.63e-01","0.6 to 2.7"
"age.cat>=65",1.3,"3.52e-01","0.8 to 2.1"
"gendermale",1.6,"8.50e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.83e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.57e-01","0.9 to 2.7"
"tnm_stageIV",1.4,"6.57e-01","0.3 to 5.8"
"CTLA4_cna",1.1,"5.73e-01","0.8 to 1.5"
"age.cat>=65",1.3,"3.15e-01","0.8 to 2.2"
"gendermale",1.6,"7.50e-02","1 to 2.7"
"tnm_stageII",1.1,"6.97e-01","0.6 to 2"
"tnm_stageIII",1.5,"2.06e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"7.16e-01","0.3 to 5.5"
"CTLA4_mut",6.8,"7.02e-02","0.9 to 54.4"
"age.cat>=65",1.3,"2.67e-01","0.8 to 2.2"
"gendermale",1.6,"8.37e-02","0.9 to 2.7"
"tnm_stageII",1.1,"7.83e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.60e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.77e-01","0.3 to 5.7"
"DNER_cna",0.9,"5.73e-01","0.7 to 1.2"
"age.cat>=65",1.3,"3.61e-01","0.8 to 2.1"
"gendermale",1.6,"7.48e-02","1 to 2.7"
"tnm_stageII",1.1,"6.56e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.76e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"6.97e-01","0.3 to 5.6"
"DNER_mut",0,"9.97e-01","0 to Inf"
"age.cat>=65",1.3,"3.24e-01","0.8 to 2.1"
"gendermale",1.6,"7.63e-02","1 to 2.7"
"tnm_stageII",1.1,"6.65e-01","0.6 to 2"
"tnm_stageIII",1.5,"1.68e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.76e-01","0.3 to 5.7"
"PDCD1_cna",0.9,"3.44e-01","0.6 to 1.2"
"age.cat>=65",1.3,"3.35e-01","0.8 to 2.1"
"gendermale",1.6,"7.88e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.42e-01","0.6 to 2"
"tnm_stageIII",1.4,"2.17e-01","0.8 to 2.6"
"tnm_stageIV",1.3,"7.21e-01","0.3 to 5.4"
"SLC22A14_cna",1,"8.39e-01","0.6 to 1.5"
"age.cat>=65",1.3,"3.24e-01","0.8 to 2.1"
"gendermale",1.6,"7.85e-02","0.9 to 2.7"
"tnm_stageII",1.1,"6.44e-01","0.6 to 2.1"
"tnm_stageIII",1.5,"1.72e-01","0.8 to 2.7"
"tnm_stageIV",1.4,"6.49e-01","0.3 to 6.1"
"PIK3CA_cna",0.9,"5.36e-01","0.6 to 1.3"
"age.cat>=65",1.3,"3.19e-01","0.8 to 2.1"
"gendermale",1.6,"7.23e-02","1 to 2.7"
"tnm_stageII",1.1,"6.79e-01","0.6 to 2"
