"var","hr","pval","hr_ci95"
"tnm_stageIV",12.9,"8.71e-04","2.9 to 58.3"
"FUBP1_cna",1.6,"2.11e-01","0.8 to 3.2"
"age.cat>=65",1.7,"2.15e-01","0.7 to 3.9"
"gendermale",0.7,"3.13e-01","0.4 to 1.4"
"tnm_stageII",2.9,"1.68e-01","0.6 to 13.6"
"tnm_stageIII",5,"3.63e-02","1.1 to 22.7"
"tnm_stageIV",13.7,"6.65e-04","3 to 62"
"FUBP1_mut",0,"9.98e-01","0 to Inf"
"age.cat>=65",1.7,"2.23e-01","0.7 to 3.8"
"gendermale",0.7,"2.06e-01","0.3 to 1.3"
"tnm_stageII",2.7,"1.99e-01","0.6 to 12.5"
"tnm_stageIII",4.5,"4.97e-02","1 to 20.1"
"tnm_stageIV",11.7,"1.19e-03","2.6 to 52"
"IL10_cna",0.9,"7.49e-01","0.5 to 1.6"
"age.cat>=65",1.7,"2.15e-01","0.7 to 3.9"
"gendermale",0.7,"2.17e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.06e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.90e-02","1 to 20.2"
"tnm_stageIV",11.8,"1.17e-03","2.7 to 52.3"
"IRF6_cna",0.9,"7.39e-01","0.5 to 1.6"
"age.cat>=65",1.7,"2.14e-01","0.7 to 3.9"
"gendermale",0.7,"2.16e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.07e-01","0.6 to 12.2"
"tnm_stageIII",4.5,"4.93e-02","1 to 20.2"
"tnm_stageIV",11.8,"1.18e-03","2.7 to 52.2"
"DNMT3A_cna",0.9,"7.98e-01","0.4 to 1.9"
"age.cat>=65",1.7,"2.17e-01","0.7 to 3.9"
"gendermale",0.7,"2.11e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.04e-01","0.6 to 12.3"
"tnm_stageIII",4.5,"4.91e-02","1 to 20.2"
"tnm_stageIV",11.6,"1.24e-03","2.6 to 51.6"
"DNMT3A_mut",2.6,"6.51e-02","0.9 to 7.3"
"age.cat>=65",1.7,"2.13e-01","0.7 to 3.9"
"gendermale",0.6,"1.81e-01","0.3 to 1.2"
"tnm_stageII",2.7,"2.00e-01","0.6 to 12.5"
"tnm_stageIII",4.7,"4.33e-02","1 to 21.3"
"tnm_stageIV",12.6,"9.36e-04","2.8 to 56.4"
"SOS1_cna",1,"9.47e-01","0.5 to 2.1"
"age.cat>=65",1.7,"2.08e-01","0.7 to 3.9"
"gendermale",0.7,"2.12e-01","0.3 to 1.3"
"tnm_stageII",2.7,"2.06e-01","0.6 to 12.3"
