"","cancertype","nmdmetric","diff","pval","qval"
"87","HNSC","nmdns_med",0.0712986269761285,0.868085347379273,0.957199813501515
"88","HNSC","nmdns_med.wt",0.235845780976774,0.207000411683974,0.401509419214604
"89","HNSC","nmdns_mean",0.000502021848334755,0.689431279349874,0.83398945082646
"90","HNSC","nmdns_mean.wt",0.102130913618441,0.435488490034029,0.648906690448056
"91","KIPAN","nmdptc_frac_decayed",0.1249387366083,3.70393948721852e-08,1.38897730770695e-06
"92","KIPAN","nmdptc_med",0.136369753250439,0.0145120362920378,0.0502339717801307
"93","KIPAN","nmdptc_med.wt",0.231402444723909,0.0199136487785038,0.0668741936591546
"94","KIPAN","nmdptc_mean",0.0802918160297706,0.0433493609381164,0.121920077638452
"95","KIPAN","nmdptc_mean.wt",0.283740714021314,0.000706791310395696,0.00637930155818719
"96","KIPAN","nmdfs_frac_decayed",0.1249387366083,9.16685557872624e-06,0.0001473244646581
"97","KIPAN","nmdfs_med",0.162004069929198,0.0380929832977496,0.112937565588021
"98","KIPAN","nmdfs_med.wt",0.220801627086176,0.146044630241476,0.315886846293586
"99","KIPAN","nmdfs_mean",0.197102139510755,0.00139907609895585,0.00994752457758237
"100","KIPAN","nmdfs_mean.wt",0.209348197832212,0.0112956259481724,0.0416641940711276
"101","KIPAN","nmdns_frac_decayed",0.301029995663981,0.000141963418867197,0.00187892760265408
"102","KIPAN","nmdns_med",0.319338813770407,0.00516208405686293,0.0237034471998808
"103","KIPAN","nmdns_med.wt",0.439633427567568,0.0042959683566732,0.021479841783366
"104","KIPAN","nmdns_mean",0.314836496905688,0.00580988273224502,0.0246645965048138
"105","KIPAN","nmdns_mean.wt",0.460681293050511,0.000974974360521063,0.00783461539704426
"106","LUAD","nmdptc_frac_decayed",0.041392685158225,0.908458066312539,0.964882240111578
"107","LUAD","nmdptc_med",-0.0274069030491284,0.600649410687591,0.767875667072204
"108","LUAD","nmdptc_med.wt",-0.00249425602329034,0.41810691403146,0.642076976696979
"109","LUAD","nmdptc_mean",-0.0158870719259459,0.577376797667934,0.755289415553983
"110","LUAD","nmdptc_mean.wt",0.00852432213898524,0.848839897470485,0.945489984806233
"111","LUAD","nmdfs_frac_decayed",0,0.392281729912472,0.621573163593706
"112","LUAD","nmdfs_med",0.133351556587116,0.174228331871214,0.356376133372938
"113","LUAD","nmdfs_med.wt",0.259162030169938,0.189373254271926,0.377413428045147
"114","LUAD","nmdfs_mean",0.169723802510159,0.334484939500043,0.557474899166738
"115","LUAD","nmdfs_mean.wt",0.00576587263411388,0.705175354535622,0.848473020163181
"116","LUAD","nmdns_frac_decayed",-0.0321846833714012,0.391127818880406,0.621573163593706
"117","LUAD","nmdns_med",0.260593485725309,0.327891974065138,0.551007416710054
"118","LUAD","nmdns_med.wt",0.315904100898034,0.295611427028955,0.515601326213294
"119","LUAD","nmdns_mean",0.207815266287961,0.586984534015996,0.759031725020684
"120","LUAD","nmdns_mean.wt",0.140271849381517,0.968726199106199,0.981298069975998
"121","LUSC","nmdptc_frac_decayed",-0.169409278276691,0.0540123254702732,0.144675871795375
"122","LUSC","nmdptc_med",-0.173802985437735,0.970442905932009,0.981298069975998
"123","LUSC","nmdptc_med.wt",-0.198482444920504,0.795350080482504,0.921225674095304
"124","LUSC","nmdptc_mean",-0.306013679495642,0.102148076747828,0.247132443744745
"125","LUSC","nmdptc_mean.wt",-0.257087663175988,0.142405039025162,0.311566204892377
"126","LUSC","nmdfs_frac_decayed",0,0.530129068378048,0.727311221860127
"127","LUSC","nmdfs_med",0,0.944115418049921,0.974431050739597
"128","LUSC","nmdfs_med.wt",0,0.923847324487255,0.964882240111578
"129","LUSC","nmdfs_mean",0,0.99485752422438,0.999298852457524
"130","LUSC","nmdfs_mean.wt",0,0.934705983031939,0.96916518977966
"131","LUSC","nmdns_frac_decayed",-0.205087232544525,0.0381477999319539,0.112937565588021
"132","LUSC","nmdns_med",-0.273322198244724,0.328155528173988,0.551007416710054
"133","LUSC","nmdns_med.wt",-0.406226437888521,0.202274585924697,0.395754624635277
"134","LUSC","nmdns_mean",-0.408993110083818,0.0404267694971062,0.116615681241652
"135","LUSC","nmdns_mean.wt",-0.409930207991716,0.0511588475758883,0.138683622946685
"136","OV","nmdptc_frac_decayed",0.471004026511157,0.260628447628095,0.48066721898624
"137","OV","nmdptc_med",0.0226683121807837,0.750218619936016,0.879162445237519
"138","OV","nmdptc_med.wt",0.38198379542782,0.370499212549878,0.599728941177859
"139","OV","nmdptc_mean",0.0887775500537677,0.673736501303817,0.823744478750588
"140","OV","nmdptc_mean.wt",0.246346197704668,0.520943794143941,0.71909419437047
